,Message,Tweet Favorite Count,Retweet Count,Created At,Username,Likes,Location
62,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 02:54:36,Panjang,437,
63,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 02:54:02,Nabil Nur Aiman,27697,SBW 《=》 KUL
64,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 02:52:49,your local pontianak,23326,Insta : karissa_lund
65,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 02:23:57,wagyumelon,4263,Malaysia
66,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 02:16:18,Tuan🇲🇾,54193,"Selangor, Malaysia"
67,"The mask serves an important paw-pose to protect your health.

#Kuching #N95 #mask #haze #jerebu

https://t.co/TeVAtcPMQC",0,0,2019-09-24 01:30:00,The Rakyat Post,269,Malaysia
68,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 01:12:34,Deja Vu ✨,4087,Malaysia
69,"RT @shahrulxr: Indonesia started the haze thingy thy might in the midst of producing this as well. Capitalist. 

#Plottwist 
#Jerebu
#Perli…",0,18,2019-09-24 01:08:08,Ir. Muiz Gru,747,Ipoh ✈ Manjung
70,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-24 00:36:09,KANMANI MANI,1399,KUALA LUMPUR
71,#Bersih5 #redshirts #merah169 #haze #jerebu #MH370 #klia #LCCT #Sihat #Jerebu #Telupid #kltu #llmmalaysia 1hand on… https://t.co/tMUI8Pswr4,0,0,2019-09-24 00:20:40,ecofren camelia,0,Earth
72,"Bhutan. Yes. Suriname. This is a surprise.

How about us. Have we started the race yet?

Probably we need to clear… https://t.co/Lu8eY45gLk",1,0,2019-09-24 00:19:28,Sarah Hajar CGT,4114,
73,"RT @Megat_Yaesree: ""Bacaan IPU di sekitar Shah Alam ialah 138.""

Bitch please.

Its like IPU 200++.
I cant see the damn road.
Hard to breat…",0,452,2019-09-23 23:55:46,Sera 🇲🇾,675,
74,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 23:54:25,☕,12670,loading
75,RT @TheDisyahere: Stay safe everyone. #haze #jerebu https://t.co/NROJBUNdUD,0,44,2019-09-23 23:20:48,Ricaella,21,Malaysia
76,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 22:55:25,resakse_gorgon,2092,Malaysia
77,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 22:46:22,li,8030,yeh bois on planet earth
78,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 22:17:51,izzy ✊,4487,
79,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 20:56:47,🌸,13126,Malaysia
80,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 19:29:34,C.B. Lokter,7560,Malaysia
81,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 19:20:03,Leeroy Ting,12159,Malaysia
82,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 19:15:46,Dr. Rais Hussin,194,Malaysia
83,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 18:15:12,𝒹𝓎,52081,Malaysia
84,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 18:01:06,Firdaus Shafiq,14524,"Shah Alam, Malaysia"
85,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 17:17:06,dr.arfa,31038,Heaven 
86,"RT @shahrulxr: Indonesia started the haze thingy thy might in the midst of producing this as well. Capitalist. 

#Plottwist 
#Jerebu
#Perli…",0,18,2019-09-23 17:04:38,Seorang Mijah,7694,Selangor ↔️ Melaka
87,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 16:47:06,🍓🤟,27466,Malaysia
88,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 16:24:57,markky,10853,un-border
89,"RT @ibrahimsaninet: IOI Corp Bhd, according to The Edge, is the best company exhibiting Corporate Responsibility in Malaysia. 

IOI Corp wo…",0,7,2019-09-23 16:02:13,tevanraj,13562,Malaysia
90,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 16:00:27,Ben Abel,7195,"York, England"
91,RT @christinehtan: Book titles that reflect our lives in the Southeast Asian haze. #haze #hazemalaysia #jerebu #climatechange #globalclimat…,0,3,2019-09-23 15:58:47,YeahItuSaya!,7805,Kuala Lumpur
92,"RT @Megat_Yaesree: ""Bacaan IPU di sekitar Shah Alam ialah 138.""

Bitch please.

Its like IPU 200++.
I cant see the damn road.
Hard to breat…",0,452,2019-09-23 15:53:19,𝚕 𝚒 𝚣 𝚣 🥑,6148,
93,"RT @juanajaafar: Re haze, gov ought to update regulations for advertising to prohibit language that normalises the haze as ""haze season/mus…",0,67,2019-09-23 15:52:42,Afiz Fazriz,1168,United Kingdom
